ts,node_id,rssi,time_s,channel_quality
1777281852.454139,m3-10,-91.0,353.023,0
1777281853.454145,m3-10,-91.0,354.023,0
1777281854.454152,m3-10,-91.0,355.023,0
1777281855.454158,m3-10,-91.0,356.023,0
1777281856.454164,m3-10,-91.0,357.023,0
1777281857.45417,m3-10,-91.0,358.023,0
1777281858.454176,m3-10,-91.0,359.023,0
1777281859.454182,m3-10,-91.0,360.023,0
1777281860.454189,m3-10,-91.0,361.023,0
1777281861.454195,m3-10,-91.0,362.023,0
1777281862.454201,m3-10,-91.0,363.024,0
1777281863.454207,m3-10,-91.0,364.024,0
1777281864.454213,m3-10,-91.0,365.024,0
1777281865.454219,m3-10,-91.0,366.024,0
1777281866.454226,m3-10,-91.0,367.024,0
1777281867.454201,m3-10,-91.0,368.024,0
1777281868.454207,m3-10,-91.0,369.024,0
1777281869.454214,m3-10,-91.0,370.024,0
1777281870.45422,m3-10,-91.0,371.024,0
1777281871.454226,m3-10,-91.0,372.024,0
1777281872.454232,m3-10,-91.0,373.024,0
1777281873.454238,m3-10,-91.0,374.024,0
1777281874.454244,m3-10,-91.0,375.024,0
1777281875.454251,m3-10,-91.0,376.024,0
1777281876.454257,m3-10,-91.0,377.024,0
1777281877.454263,m3-10,-91.0,378.024,0
1777281878.454269,m3-10,-91.0,379.024,0
1777281879.454275,m3-10,-91.0,380.024,0
1777281880.454281,m3-10,-91.0,381.024,0
1777281881.454288,m3-10,-91.0,382.024,0
1777281882.454294,m3-10,-91.0,383.024,0
1777281883.4543,m3-10,-91.0,384.024,0
1777281884.454306,m3-10,-91.0,385.024,0
1777281885.454678,m3-10,-91.0,386.024,0
1777281886.454715,m3-10,-91.0,387.024,0
1777281887.454721,m3-10,-91.0,388.024,0
1777281888.454727,m3-10,-91.0,389.024,0
1777281889.454734,m3-10,-91.0,390.024,0
1777281890.45474,m3-10,-91.0,391.024,0
1777281891.454746,m3-10,-91.0,392.024,0
1777281892.454752,m3-10,-91.0,393.024,0
1777281893.454758,m3-10,-91.0,394.024,0
1777281894.454764,m3-10,-91.0,395.024,0
1777281895.454771,m3-10,-91.0,396.024,0
1777281896.454777,m3-10,-91.0,397.024,0
1777281897.454783,m3-10,-91.0,398.024,0
1777281898.454789,m3-10,-91.0,399.024,0
1777281899.454795,m3-10,-91.0,400.024,0
1777281900.454801,m3-10,-91.0,401.024,0
1777281901.454808,m3-10,-91.0,402.024,0
1777281902.454814,m3-10,-91.0,403.024,0
1777281903.45482,m3-10,-91.0,404.024,0
1777281904.454826,m3-10,-91.0,405.024,0
1777281905.454832,m3-10,-91.0,406.024,0
1777281906.454838,m3-10,-91.0,407.024,0
1777281907.454844,m3-10,-91.0,408.024,0
1777281908.454851,m3-10,-91.0,409.024,0
1777281909.454857,m3-10,-91.0,410.024,0
1777281910.454863,m3-10,-91.0,411.024,0
1777281911.454869,m3-10,-91.0,412.024,0
1777281912.454875,m3-10,-91.0,413.024,0
1777281913.454881,m3-10,-91.0,414.024,0
1777281914.454888,m3-10,-91.0,415.024,0
1777281915.454894,m3-10,-91.0,416.024,0
1777281916.4549,m3-10,-91.0,417.024,0
1777281917.454906,m3-10,-91.0,418.024,0
1777281918.454912,m3-10,-91.0,419.024,0
1777281919.454918,m3-10,-91.0,420.024,0
1777281920.454925,m3-10,-91.0,421.024,0
1777281921.454931,m3-10,-91.0,422.024,0
1777281922.454937,m3-10,-91.0,423.024,0
1777281923.454943,m3-10,-91.0,424.024,0
1777281924.454949,m3-10,-91.0,425.024,0
1777281925.454955,m3-10,-91.0,426.024,0
1777281926.454962,m3-10,-91.0,427.024,0
1777281927.454968,m3-10,-91.0,428.024,0
1777281928.454974,m3-10,-91.0,429.024,0
1777281929.45498,m3-10,-91.0,430.024,0
1777281930.454986,m3-10,-91.0,431.024,0
1777281931.454992,m3-10,-91.0,432.024,0
1777281932.454999,m3-10,-91.0,433.024,0
1777281933.455005,m3-10,-91.0,434.024,0
1777281934.455011,m3-10,-91.0,435.024,0
1777281935.455017,m3-10,-91.0,436.024,0
1777281936.455023,m3-10,-91.0,437.024,0
1777281937.455029,m3-10,-91.0,438.024,0
1777281938.455036,m3-10,-91.0,439.024,0
1777281939.455042,m3-10,-91.0,440.024,0
1777281940.455048,m3-10,-91.0,441.024,0
